종목,월,방향,손절선(%),손절적용,구간,신호,제외,합계(%),평균(%),승률(%),손익비,손익분기 승률(%),질 때 표본,최고(%),최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능,구간 시작일,구간 종료일
KODEX 코스닥150,1,위,-9.0,가능,전체,11,0,12.96,1.18,54.55,1.249,44.46,5,26.39,-9.0,9.42,0,1,6.73,예,2016-01-20,2026-01-20
KODEX 코스닥150,1,위,-9.0,가능,앞 절반,5,0,0.84,0.17,60.0,0.741,57.45,2,3.7,-6.46,4.2,0,0,7.2,아니오,2016-01-20,2020-01-20
KODEX 코스닥150,1,위,-9.0,가능,뒤 절반,6,0,12.12,2.02,50.0,1.659,37.61,3,26.39,-9.0,12.7,0,1,6.33,아니오,2021-01-20,2026-01-20
KODEX 코스닥150,1,위,-9.0,가능,최근 10년,10,0,11.84,1.18,50.0,1.456,40.71,5,26.39,-9.0,9.93,0,1,6.7,예,2017-01-20,2026-01-20
KODEX 코스닥150,1,위,-9.0,가능,최근 5년,5,0,16.62,3.32,60.0,1.464,40.58,2,26.39,-9.0,13.74,0,1,6.2,아니오,2022-01-20,2026-01-20
KODEX 코스닥150,1,위,-10.0,가능,전체,11,0,11.96,1.09,54.55,1.203,45.39,5,26.39,-10.0,9.53,0,1,6.73,예,2016-01-20,2026-01-20
KODEX 코스닥150,1,위,-10.0,가능,앞 절반,5,0,0.84,0.17,60.0,0.741,57.45,2,3.7,-6.46,4.2,0,0,7.2,아니오,2016-01-20,2020-01-20
KODEX 코스닥150,1,위,-10.0,가능,뒤 절반,6,0,11.12,1.85,50.0,1.573,38.86,3,26.39,-10.0,12.88,0,1,6.33,아니오,2021-01-20,2026-01-20
KODEX 코스닥150,1,위,-10.0,가능,최근 10년,10,0,10.84,1.08,50.0,1.402,41.63,5,26.39,-10.0,10.04,0,1,6.7,예,2017-01-20,2026-01-20
KODEX 코스닥150,1,위,-10.0,가능,최근 5년,5,0,15.62,3.12,60.0,1.366,42.27,2,26.39,-10.0,13.97,0,1,6.2,아니오,2022-01-20,2026-01-20
KODEX 코스닥150,1,위,무손절,가능,전체,11,0,12.36,1.12,54.55,1.221,45.02,5,26.39,-9.6,9.48,0,0,6.82,예,2016-01-20,2026-01-20
KODEX 코스닥150,1,위,무손절,가능,앞 절반,5,0,0.84,0.17,60.0,0.741,57.45,2,3.7,-6.46,4.2,0,0,7.2,아니오,2016-01-20,2020-01-20
KODEX 코스닥150,1,위,무손절,가능,뒤 절반,6,0,11.52,1.92,50.0,1.606,38.37,3,26.39,-9.6,12.81,0,0,6.5,아니오,2021-01-20,2026-01-20
KODEX 코스닥150,1,위,무손절,가능,최근 10년,10,0,11.24,1.12,50.0,1.423,41.27,5,26.39,-9.6,10.0,0,0,6.8,예,2017-01-20,2026-01-20
KODEX 코스닥150,1,위,무손절,가능,최근 5년,5,0,16.02,3.2,60.0,1.404,41.6,2,26.39,-9.6,13.88,0,0,6.4,아니오,2022-01-20,2026-01-20
KODEX 코스닥150,2,아래,-3.0,가능,전체,11,0,8.71,0.79,54.55,1.536,39.42,5,8.23,-3.0,3.61,0,2,5.64,예,2016-02-19,2026-02-20
KODEX 코스닥150,2,아래,-3.0,가능,앞 절반,5,0,6.49,1.3,60.0,1.813,35.55,2,8.23,-3.0,4.22,0,1,5.6,아니오,2016-02-19,2020-02-20
KODEX 코스닥150,2,아래,-3.0,가능,뒤 절반,6,0,2.22,0.37,50.0,1.339,42.75,3,5.92,-3.0,3.38,0,1,5.67,아니오,2021-02-19,2026-02-20
KODEX 코스닥150,2,아래,-3.0,가능,최근 10년,10,0,9.48,0.95,60.0,1.329,42.94,4,8.23,-3.0,3.77,0,2,5.6,예,2017-02-20,2026-02-20
KODEX 코스닥150,2,아래,-3.0,가능,최근 5년,5,0,-3.7,-0.74,40.0,0.653,60.5,3,2.55,-3.0,2.25,0,1,5.8,아니오,2022-02-18,2026-02-20
KODEX 코스닥150,2,아래,-4.0,가능,전체,11,0,11.16,1.01,63.64,1.338,42.77,4,8.23,-4.0,3.53,0,1,5.82,예,2016-02-19,2026-02-20
KODEX 코스닥150,2,아래,-4.0,가능,앞 절반,5,0,9.94,1.99,80.0,3.468,22.38,1,8.23,-0.77,3.57,0,0,6.0,아니오,2016-02-19,2020-02-20
KODEX 코스닥150,2,아래,-4.0,가능,뒤 절반,6,0,1.22,0.2,50.0,1.162,46.26,3,5.92,-4.0,3.6,0,1,5.67,아니오,2021-02-19,2026-02-20
KODEX 코스닥150,2,아래,-4.0,가능,최근 10년,10,0,11.93,1.19,70.0,1.106,47.48,3,8.23,-4.0,3.66,0,1,5.8,예,2017-02-20,2026-02-20
KODEX 코스닥150,2,아래,-4.0,가능,최근 5년,5,0,-4.7,-0.94,40.0,0.566,63.84,3,2.55,-4.0,2.52,0,1,5.8,아니오,2022-02-18,2026-02-20
KODEX 코스닥150,2,아래,-5.0,가능,전체,11,0,10.16,0.92,63.64,1.194,45.57,4,8.23,-5.0,3.68,0,1,5.91,예,2016-02-19,2026-02-20
KODEX 코스닥150,2,아래,-5.0,가능,앞 절반,5,0,9.94,1.99,80.0,3.468,22.38,1,8.23,-0.77,3.57,0,0,6.0,아니오,2016-02-19,2020-02-20
KODEX 코스닥150,2,아래,-5.0,가능,뒤 절반,6,0,0.22,0.04,50.0,1.026,49.36,3,5.92,-5.0,3.85,0,1,5.83,아니오,2021-02-19,2026-02-20
KODEX 코스닥150,2,아래,-5.0,가능,최근 10년,10,0,10.93,1.09,70.0,0.977,50.59,3,8.23,-5.0,3.83,0,1,5.9,예,2017-02-20,2026-02-20
KODEX 코스닥150,2,아래,-5.0,가능,최근 5년,5,0,-5.7,-1.14,40.0,0.5,66.66,3,2.55,-5.0,2.85,0,1,6.0,아니오,2022-02-18,2026-02-20
KODEX 코스닥150,2,아래,-6.0,가능,전체,11,0,10.83,0.98,63.64,1.287,43.72,4,8.23,-4.33,3.57,0,0,5.91,예,2016-02-19,2026-02-20
KODEX 코스닥150,2,아래,-6.0,가능,앞 절반,5,0,9.94,1.99,80.0,3.468,22.38,1,8.23,-0.77,3.57,0,0,6.0,아니오,2016-02-19,2020-02-20
KODEX 코스닥150,2,아래,-6.0,가능,뒤 절반,6,0,0.9,0.15,50.0,1.114,47.31,3,5.92,-4.33,3.68,0,0,5.83,아니오,2021-02-19,2026-02-20
KODEX 코스닥150,2,아래,-6.0,가능,최근 10년,10,0,11.61,1.16,70.0,1.06,48.54,3,8.23,-4.33,3.72,0,0,5.9,예,2017-02-20,2026-02-20
KODEX 코스닥150,2,아래,-6.0,가능,최근 5년,5,0,-5.02,-1.0,40.0,0.543,64.81,3,2.55,-4.33,2.63,0,0,6.0,아니오,2022-02-18,2026-02-20
KODEX 코스닥150,2,아래,-7.0,가능,전체,11,0,10.83,0.98,63.64,1.287,43.72,4,8.23,-4.33,3.57,0,0,5.91,예,2016-02-19,2026-02-20
KODEX 코스닥150,2,아래,-7.0,가능,앞 절반,5,0,9.94,1.99,80.0,3.468,22.38,1,8.23,-0.77,3.57,0,0,6.0,아니오,2016-02-19,2020-02-20
KODEX 코스닥150,2,아래,-7.0,가능,뒤 절반,6,0,0.9,0.15,50.0,1.114,47.31,3,5.92,-4.33,3.68,0,0,5.83,아니오,2021-02-19,2026-02-20
