종목,테스트,파라미터,시작연도,방향,시대 구간,구간,표본,거는 방향,적중률(%),방향 기대값(%),합산 수익률(%),기준선(%),기준선 대비 차이(%p),1차 판정
QQQ,테스트 A(역대급 등락),K=10,2011,역방향 전체,전체,1일,3,위,100.0,6.77,20.31,49.84,50.16,후보
QQQ,테스트 A(역대급 등락),K=10,2011,역방향 전체,전체,2일,3,위,66.67,0.76,2.28,49.9,16.77,후보
QQQ,테스트 A(역대급 등락),K=10,2011,역방향 전체,전체,3일,3,위,100.0,3.16,9.48,49.95,50.05,후보
QQQ,테스트 A(역대급 등락),K=10,2011,역방향 전체,전체,1주,3,위,100.0,1.85,5.56,49.94,50.06,후보
QQQ,테스트 A(역대급 등락),K=10,2011,역방향 전체,전체,2주,3,위,66.67,7.12,21.36,49.96,16.7,후보
QQQ,테스트 A(역대급 등락),K=10,2011,역방향 전체,전체,1개월,3,위,66.67,11.16,33.49,49.99,16.68,후보
QQQ,테스트 A(역대급 등락),K=20,2011,폭등,전체,1일,5,아래,80.0,3.63,18.17,44.11,35.89,후보
QQQ,테스트 A(역대급 등락),K=20,2011,폭등,전체,2일,5,아래,60.0,0.96,4.81,41.89,18.11,후보
QQQ,테스트 A(역대급 등락),K=20,2011,폭등,전체,3일,5,아래,60.0,2.61,13.05,41.14,18.86,후보
QQQ,테스트 A(역대급 등락),K=20,2011,폭등,전체,1주,5,위,60.0,-2.14,-10.7,59.91,0.09,제외
QQQ,테스트 A(역대급 등락),K=20,2011,폭등,전체,2주,5,위,80.0,1.92,9.58,62.78,17.22,후보
QQQ,테스트 A(역대급 등락),K=20,2011,폭등,전체,1개월,5,위,100.0,9.51,47.57,67.09,32.91,후보
QQQ,테스트 A(역대급 등락),K=20,2011,폭락,전체,1일,3,위,100.0,7.17,21.5,55.56,44.44,후보
QQQ,테스트 A(역대급 등락),K=20,2011,폭락,전체,2일,3,위,66.67,0.21,0.64,57.91,8.76,후보
QQQ,테스트 A(역대급 등락),K=20,2011,폭락,전체,3일,3,위,66.67,-0.25,-0.74,58.76,7.91,제외
QQQ,테스트 A(역대급 등락),K=20,2011,폭락,전체,1주,3,위,66.67,-3.89,-11.66,59.91,6.76,제외
QQQ,테스트 A(역대급 등락),K=20,2011,폭락,전체,2주,3,위,66.67,3.24,9.72,62.78,3.88,후보
QQQ,테스트 A(역대급 등락),K=20,2011,폭락,전체,1개월,3,위,100.0,13.22,39.66,67.09,32.91,후보
QQQ,테스트 A(역대급 등락),K=20,2011,역방향 전체,전체,1일,8,위,87.5,4.96,39.67,49.84,37.66,후보
