대상,격자 칸,표본,방향,적중률(%),방향 기대값(%),합산 수익률(%),기준선(%),기준선 대비 차이(%p),우연확률,시기 구간,가장 약한 시기(%),1차 판정,뒷받침,미충족
2001,16일 → 말일+3,362,아래,51.38,0.38,138.72,47.52,3.86,0.1299,4,46.41,제외,0/3,차이 · 우연확률 · 시기
2001,16일 → 말일-1,362,아래,56.91,1.18,428.49,51.81,5.1,0.042,4,49.72,제외,1/3,차이 · 시기
2001,16일 → 말일-2,362,아래,57.73,1.3,470.85,54.37,3.37,0.2018,4,53.04,제외,0/3,차이 · 우연확률 · 시기
2001,16일 → 말일-3,362,아래,54.42,1.01,367.21,51.63,2.79,0.2408,4,50.28,제외,0/3,차이 · 우연확률 · 시기
2001,17일 → 말일,362,아래,53.31,0.66,238.4,49.3,4.02,0.1269,4,47.51,제외,0/3,차이 · 우연확률 · 시기
2001,17일 → 말일+1,362,아래,50.55,0.27,96.17,46.48,4.07,0.0979,4,46.41,제외,0/3,차이 · 우연확률 · 시기
2001,17일 → 말일+2,362,아래,49.72,0.21,75.76,46.84,2.88,0.2687,4,46.41,제외,0/3,차이 · 우연확률 · 시기
2001,17일 → 말일+3,362,아래,49.45,0.16,57.52,47.52,1.93,0.4505,4,45.86,제외,0/3,차이 · 우연확률 · 시기
2001,17일 → 말일-1,362,아래,54.97,0.96,349.1,51.81,3.16,0.2088,4,46.96,제외,0/3,차이 · 우연확률 · 시기
2001,17일 → 말일-2,362,아래,56.35,1.08,391.86,54.37,1.98,0.4545,4,51.67,제외,0/3,차이 · 우연확률 · 시기
2001,17일 → 말일-3,362,아래,53.31,0.79,287.3,51.63,1.68,0.4755,4,45.0,제외,0/3,차이 · 우연확률 · 시기
2001,18일 → 말일,362,아래,52.21,0.53,193.59,49.3,2.91,0.2907,4,48.62,제외,0/3,차이 · 우연확률 · 시기
2001,18일 → 말일+1,362,아래,48.9,0.15,52.69,46.48,2.41,0.3337,4,44.75,제외,0/3,차이 · 우연확률 · 시기
2001,18일 → 말일+2,362,아래,48.62,0.09,32.64,46.84,1.78,0.4935,4,45.3,제외,0/3,차이 · 우연확률 · 시기
2001,18일 → 말일+3,362,아래,48.62,0.04,13.12,47.52,1.1,0.6693,4,45.3,제외,0/3,차이 · 우연확률 · 시기
