종목,만기월,방향,손절선(%),구간,신호,제외,합계(%),평균(%),승률(%),최고(%),최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능
KODEX 200,9,위,-6.5,최근 10년,10,0,6.16,0.62,70.0,4.44,-3.32,2.34,0,0,5.1,예
KODEX 200,9,위,-6.5,최근 5년,5,0,2.64,0.53,60.0,4.44,-2.78,2.59,0,0,5.0,아니오
KODEX 200,9,위,-7.0,전체,23,0,28.71,1.25,78.26,4.61,-3.32,2.28,0,0,5.3,예
KODEX 200,9,위,-7.0,앞 절반,11,0,18.95,1.72,81.82,4.61,-3.15,2.37,0,0,5.36,예
KODEX 200,9,위,-7.0,뒤 절반,12,0,9.75,0.81,75.0,4.44,-3.32,2.21,0,0,5.25,예
KODEX 200,9,위,-7.0,최근 10년,10,0,6.16,0.62,70.0,4.44,-3.32,2.34,0,0,5.1,예
KODEX 200,9,위,-7.0,최근 5년,5,0,2.64,0.53,60.0,4.44,-2.78,2.59,0,0,5.0,아니오
KODEX 200,9,위,-7.5,전체,23,0,28.71,1.25,78.26,4.61,-3.32,2.28,0,0,5.3,예
KODEX 200,9,위,-7.5,앞 절반,11,0,18.95,1.72,81.82,4.61,-3.15,2.37,0,0,5.36,예
KODEX 200,9,위,-7.5,뒤 절반,12,0,9.75,0.81,75.0,4.44,-3.32,2.21,0,0,5.25,예
KODEX 200,9,위,-7.5,최근 10년,10,0,6.16,0.62,70.0,4.44,-3.32,2.34,0,0,5.1,예
KODEX 200,9,위,-7.5,최근 5년,5,0,2.64,0.53,60.0,4.44,-2.78,2.59,0,0,5.0,아니오
KODEX 200,9,위,-8.0,전체,23,0,28.71,1.25,78.26,4.61,-3.32,2.28,0,0,5.3,예
KODEX 200,9,위,-8.0,앞 절반,11,0,18.95,1.72,81.82,4.61,-3.15,2.37,0,0,5.36,예
KODEX 200,9,위,-8.0,뒤 절반,12,0,9.75,0.81,75.0,4.44,-3.32,2.21,0,0,5.25,예
KODEX 200,9,위,-8.0,최근 10년,10,0,6.16,0.62,70.0,4.44,-3.32,2.34,0,0,5.1,예
