대상,격자 칸,진입 달력일,청산 상대 거래일,시기,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
229200,16일 → 말일+3,16,3,최근 5년,59,0,59,-0.09,0.0,49.15,49.15,25.49,-16.82,6.77,1199,0,1199,0.18,0.44,53.46,46.46,29.79,-19.42,6.8,-0.27,-0.44,-4.31,2.7,0.7562,0.6414,0.5824,0.7862,,False,예
229200,17일 → 말일-3,17,-3,앞 절반,65,0,65,-0.63,-0.16,47.69,52.31,4.51,-9.45,3.35,1055,0,1055,-0.39,-0.05,49.29,50.14,17.32,-17.8,4.42,-0.24,-0.12,-1.6,2.17,0.6484,0.9121,0.8042,0.8042,,False,예
229200,17일 → 말일-3,17,-3,뒤 절반,66,0,66,-0.07,0.5,53.03,46.97,18.38,-12.87,4.87,1068,0,1068,0.21,0.07,50.75,48.69,22.44,-28.75,5.48,-0.28,0.43,2.28,-1.72,0.6913,0.4945,0.7123,0.8082,,True,예
229200,17일 → 말일-3,17,-3,최근 10년,120,0,120,-0.37,0.12,50.0,50.0,18.38,-12.87,4.31,1968,0,1968,0.03,0.1,51.12,48.37,22.44,-28.75,5.1,-0.4,0.02,-1.12,1.63,0.3736,0.984,0.8352,0.7672,,False,예
229200,17일 → 말일-3,17,-3,최근 5년,60,0,60,-0.13,0.47,51.67,48.33,18.38,-12.87,5.09,979,0,979,0.17,0.04,50.15,49.23,22.44,-28.75,5.7,-0.3,0.43,1.51,-0.9,0.6613,0.5135,0.8871,0.8801,,True,예
229200,17일 → 말일-2,17,-2,앞 절반,65,0,65,-0.47,0.49,53.85,41.54,5.3,-11.91,3.75,1119,0,1119,-0.23,0.05,50.31,49.06,19.42,-20.03,4.62,-0.24,0.44,3.53,-7.52,0.6713,0.3307,0.6094,0.2398,,True,예
229200,17일 → 말일-2,17,-2,뒤 절반,66,0,66,-0.47,0.35,53.03,46.97,27.24,-18.08,6.01,1133,0,1133,-0.22,-0.21,47.48,52.16,31.61,-33.08,6.33,-0.25,0.56,5.55,-5.19,0.6893,0.3127,0.3716,0.4436,,True,예
229200,17일 → 말일-2,17,-2,최근 10년,120,0,120,-0.53,0.41,53.33,45.0,27.24,-18.08,5.17,2088,0,2088,-0.14,0.04,50.19,49.47,31.61,-33.08,5.7,-0.39,0.37,3.14,-4.47,0.4446,0.3097,0.5105,0.3387,,True,예
229200,17일 → 말일-2,17,-2,최근 5년,60,0,60,-0.52,0.33,51.67,48.33,27.24,-18.08,6.26,1039,0,1039,-0.22,-0.21,47.74,51.97,31.61,-33.08,6.58,-0.3,0.54,3.93,-3.64,0.6583,0.3926,0.6014,0.6024,,True,예
229200,17일 → 말일-1,17,-1,앞 절반,65,0,65,-0.24,0.14,50.77,49.23,6.87,-9.92,3.83,1183,0,1183,-0.0,0.05,50.13,49.62,21.47,-18.22,4.54,-0.23,0.1,0.64,-0.39,0.6414,0.8012,1.0,1.0,,True,예
229200,17일 → 말일-1,17,-1,뒤 절반,66,0,66,-0.24,0.48,51.52,48.48,30.96,-21.91,6.5,1198,0,1198,0.03,0.16,51.42,48.25,35.46,-36.21,6.69,-0.27,0.32,0.1,0.24,0.7233,0.6044,1.0,1.0,,True,예
229200,17일 → 말일-1,17,-1,최근 10년,120,0,120,-0.32,0.1,50.0,50.0,30.96,-21.91,5.5,2208,0,2208,0.07,0.15,51.36,48.32,35.46,-36.21,5.89,-0.4,-0.05,-1.36,1.68,0.4675,0.988,0.8611,0.7782,,False,예
229200,17일 → 말일-1,17,-1,최근 5년,60,0,60,-0.26,0.21,50.0,50.0,30.96,-21.91,6.74,1099,0,1099,0.06,0.17,51.14,48.68,35.46,-36.21,6.93,-0.32,0.04,-1.14,1.32,0.6873,0.9011,0.8791,0.8791,,False,예
229200,17일 → 말일,17,0,앞 절반,65,0,65,-0.25,0.24,52.31,46.15,10.34,-11.87,4.51,1247,0,1247,0.04,0.0,49.88,49.56,28.6,-19.99,4.9,-0.29,0.24,2.43,-3.41,0.5904,0.6094,0.6893,0.6044,,True,예
229200,17일 → 말일,17,0,뒤 절반,66,0,66,-0.19,-0.46,45.45,54.55,28.37,-11.45,6.22,1263,0,1263,0.09,0.26,51.78,47.98,32.77,-27.22,6.24,-0.28,-0.72,-6.33,6.56,0.6693,0.3067,0.2847,0.2328,,False,예
229200,17일 → 말일,17,0,최근 10년,120,0,120,-0.35,-0.39,46.67,52.5,28.37,-11.87,5.58,2328,0,2328,0.07,0.12,50.9,48.75,32.77,-27.22,5.77,-0.41,-0.51,-4.24,3.75,0.4176,0.3157,0.4166,0.4625,,False,예
