종목,청산 요일,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),오른 비율 우연확률,내린 비율 우연확률,비고,만기월,시기
KODEX 200,목요일,12,0,12,-0.66,0.23,58.33,41.67,3.88,-5.71,3.64,1.0,1.0,,5,앞 절반
KODEX 200,목요일,12,0,12,0.5,0.53,50.0,50.0,4.19,-2.11,1.85,0.5275,0.5275,,5,뒤 절반
KODEX 200,목요일,12,0,12,0.1,-0.54,41.67,58.33,4.79,-3.6,2.52,0.3197,0.2088,,6,앞 절반
KODEX 200,목요일,12,0,12,0.85,0.1,50.0,50.0,18.65,-6.65,6.25,1.0,1.0,,6,뒤 절반
KODEX 200,목요일,12,0,12,0.85,0.93,66.67,33.33,3.51,-1.26,1.33,1.0,1.0,,7,앞 절반
KODEX 200,목요일,12,0,12,0.02,0.56,75.0,25.0,4.38,-7.39,2.79,0.1838,0.1838,,7,뒤 절반
KODEX 200,목요일,12,0,12,-0.02,1.06,66.67,33.33,4.98,-10.13,4.12,0.7363,1.0,,8,앞 절반
KODEX 200,목요일,12,0,12,-1.32,-1.4,41.67,58.33,3.85,-6.51,2.83,0.5155,0.5155,,8,뒤 절반
KODEX 200,목요일,11,0,11,1.05,1.48,72.73,27.27,5.85,-3.8,3.03,0.5025,0.5025,,9,앞 절반
KODEX 200,목요일,12,0,12,0.74,0.57,83.33,16.67,4.83,-3.32,2.14,0.049,0.0919,,9,뒤 절반
KODEX 200,목요일,11,0,11,-0.31,-1.07,45.45,54.55,6.7,-7.11,3.91,1.0,1.0,,10,앞 절반
KODEX 200,목요일,12,0,12,0.78,0.95,66.67,33.33,6.08,-2.51,2.24,0.5415,0.5415,,10,뒤 절반
KODEX 200,목요일,12,0,12,-0.22,0.99,58.33,41.67,6.55,-12.46,4.9,0.4955,0.4955,,11,앞 절반
KODEX 200,목요일,12,0,12,0.15,-0.36,41.67,58.33,3.75,-4.18,2.35,0.5035,0.5035,,11,뒤 절반
KODEX 200,목요일,12,0,12,-0.04,0.59,75.0,25.0,2.01,-5.63,2.19,0.3506,0.3506,,12,앞 절반
KODEX 200,목요일,12,0,12,-0.23,-0.27,41.67,58.33,3.01,-2.37,1.77,0.1878,0.1878,,12,뒤 절반
