대상,격자 칸,표본,방향,적중률(%),방향 기대값(%),합산 수익률(%),기준선(%),기준선 대비 차이(%p),우연확률,시기 구간,가장 약한 시기(%),1차 판정,뒷받침,미충족
KODEX 인버스,24일 → 말일-3,173,위,43.93,-0.1,-17.94,41.38,2.55,0.5415,2,42.53,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,25일 → 말일,204,아래,54.9,0.18,37.57,54.77,0.13,0.9461,2,51.96,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,25일 → 말일+1,204,아래,56.37,0.3,60.34,56.26,0.11,1.0,2,53.92,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,25일 → 말일+2,204,위,44.12,-0.32,-65.7,43.04,1.08,0.7902,2,42.16,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,25일 → 말일+3,203,위,43.35,-0.4,-81.41,44.09,-0.74,0.8751,2,43.14,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,25일 → 말일-1,198,위,44.95,-0.19,-37.84,41.33,3.62,0.3536,2,42.42,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,25일 → 말일-2,189,위,41.8,-0.12,-23.41,41.62,0.18,0.9361,2,41.49,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,25일 → 말일-3,129,아래,58.91,0.1,12.27,56.71,2.2,0.5844,2,58.46,제외,1/3,차이 · 우연확률
코스피200 지수,15일 → 말일,440,위,52.5,0.14,61.88,51.59,0.91,0.7163,2,50.91,제외,0/3,차이 · 우연확률 · 시기
코스피200 지수,15일 → 말일+1,440,위,56.14,0.49,217.58,54.96,1.17,0.6114,2,55.45,제외,1/3,차이 · 우연확률
코스피200 지수,15일 → 말일+2,440,아래,45.23,-0.54,-239.73,45.08,0.15,1.0,2,44.09,제외,0/3,차이 · 우연확률 · 시기
코스피200 지수,15일 → 말일+3,440,아래,46.14,-0.65,-286.14,45.94,0.19,0.962,2,45.0,제외,0/3,차이 · 우연확률 · 시기
코스피200 지수,15일 → 말일-1,440,위,52.5,-0.02,-9.23,51.04,1.46,0.5465,2,49.09,제외,0/3,차이 · 우연확률 · 시기
코스피200 지수,15일 → 말일-2,440,위,52.27,-0.11,-46.56,50.4,1.87,0.3976,2,45.91,제외,0/3,차이 · 우연확률 · 시기
코스피200 지수,15일 → 말일-3,440,위,50.68,-0.14,-61.3,50.16,0.52,0.8092,2,46.82,제외,0/3,차이 · 우연확률 · 시기
코스피200 지수,16일 → 말일,440,아래,49.55,-0.15,-64.16,48.32,1.23,0.6543,2,48.18,제외,0/3,차이 · 우연확률 · 시기
코스피200 지수,16일 → 말일+1,440,위,56.14,0.5,219.4,54.96,1.17,0.6114,2,55.91,제외,1/3,차이 · 우연확률
코스피200 지수,16일 → 말일+2,440,위,55.23,0.55,241.59,54.86,0.37,0.8841,2,54.55,제외,0/3,차이 · 우연확률 · 시기
코스피200 지수,16일 → 말일+3,440,위,54.32,0.65,287.56,54.01,0.31,0.8901,2,53.18,제외,0/3,차이 · 우연확률 · 시기
코스피200 지수,16일 → 말일-1,440,위,51.36,-0.02,-7.73,51.04,0.32,0.8951,2,49.09,제외,0/3,차이 · 우연확률 · 시기
코스피200 지수,16일 → 말일-2,440,위,53.18,-0.1,-44.91,50.4,2.78,0.2138,2,47.27,제외,0/3,차이 · 우연확률 · 시기
코스피200 지수,16일 → 말일-3,440,위,50.91,-0.13,-59.3,50.16,0.75,0.7522,2,47.27,제외,0/3,차이 · 우연확률 · 시기
코스피200 지수,17일 → 말일,440,아래,48.64,-0.14,-60.62,48.32,0.32,0.9251,2,48.18,제외,0/3,차이 · 우연확률 · 시기
코스피200 지수,17일 → 말일+1,440,위,55.0,0.49,216.11,54.96,0.04,1.0,2,51.36,제외,0/3,차이 · 우연확률 · 시기
코스피200 지수,17일 → 말일+2,440,아래,45.45,-0.54,-238.15,45.08,0.38,0.9201,2,44.55,제외,0/3,차이 · 우연확률 · 시기
코스피200 지수,17일 → 말일+3,440,위,54.55,0.65,284.19,54.01,0.53,0.8042,2,53.18,제외,0/3,차이 · 우연확률 · 시기
코스피200 지수,17일 → 말일-1,440,위,51.14,-0.03,-13.12,51.04,0.09,0.957,2,48.18,제외,0/3,차이 · 우연확률 · 시기
