종목,월,방향,손절선(%),구간,신호,제외,합계(%),평균(%),승률(%),최고(%),최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능
229200,3,아래,6.0,뒤 절반,6,0,5.47,0.91,50.0,9.63,-6.0,6.62,0,2,7.17,아니오
229200,3,아래,6.0,최근 10년,10,0,3.19,0.32,50.0,9.63,-6.0,5.64,0,3,7.0,예
229200,3,아래,6.0,최근 5년,5,0,5.08,1.02,40.0,9.63,-6.0,7.39,0,2,7.0,아니오
229200,3,아래,7.0,전체,11,0,6.65,0.6,54.55,9.63,-7.0,5.32,0,2,7.55,예
229200,3,아래,7.0,앞 절반,5,0,-1.45,-0.29,60.0,3.62,-7.0,4.46,0,1,7.2,아니오
229200,3,아래,7.0,뒤 절반,6,0,8.1,1.35,50.0,9.63,-7.0,6.25,0,1,7.83,아니오
229200,3,아래,7.0,최근 10년,10,0,4.83,0.48,50.0,9.63,-7.0,5.59,0,2,7.4,예
229200,3,아래,7.0,최근 5년,5,0,7.72,1.54,40.0,9.63,-7.0,6.97,0,1,7.8,아니오
229200,3,아래,8.0,전체,11,0,5.69,0.52,54.55,9.63,-8.0,5.46,0,1,7.64,예
229200,3,아래,8.0,앞 절반,5,0,-2.45,-0.49,60.0,3.62,-8.0,4.85,0,1,7.4,아니오
229200,3,아래,8.0,뒤 절반,6,0,8.14,1.36,50.0,9.63,-6.97,6.25,0,0,7.83,아니오
229200,3,아래,8.0,최근 10년,10,0,3.86,0.39,50.0,9.63,-8.0,5.74,0,1,7.5,예
229200,3,아래,8.0,최근 5년,5,0,7.75,1.55,40.0,9.63,-6.97,6.96,0,0,7.8,아니오
229200,3,아래,9.0,전체,11,0,4.69,0.43,54.55,9.63,-9.0,5.62,0,1,7.64,예
229200,3,아래,9.0,앞 절반,5,0,-3.45,-0.69,60.0,3.62,-9.0,5.24,0,1,7.4,아니오
229200,3,아래,9.0,뒤 절반,6,0,8.14,1.36,50.0,9.63,-6.97,6.25,0,0,7.83,아니오
229200,3,아래,9.0,최근 10년,10,0,2.86,0.29,50.0,9.63,-9.0,5.91,0,1,7.5,예
229200,3,아래,9.0,최근 5년,5,0,7.75,1.55,40.0,9.63,-6.97,6.96,0,0,7.8,아니오
229200,3,아래,10.0,전체,11,0,3.69,0.34,54.55,9.63,-10.0,5.8,0,1,7.64,예
229200,3,아래,10.0,앞 절반,5,0,-4.45,-0.89,60.0,3.62,-10.0,5.64,0,1,7.4,아니오
229200,3,아래,10.0,뒤 절반,6,0,8.14,1.36,50.0,9.63,-6.97,6.25,0,0,7.83,아니오
229200,3,아래,10.0,최근 10년,10,0,1.86,0.19,50.0,9.63,-10.0,6.09,0,1,7.5,예
229200,3,아래,10.0,최근 5년,5,0,7.75,1.55,40.0,9.63,-6.97,6.96,0,0,7.8,아니오
229200,3,아래,무손절,전체,11,0,-4.59,-0.42,54.55,9.63,-18.28,7.55,0,0,7.91,예
229200,3,아래,무손절,앞 절반,5,0,-12.73,-2.55,60.0,3.62,-18.28,9.12,0,0,8.0,아니오
229200,3,아래,무손절,뒤 절반,6,0,8.14,1.36,50.0,9.63,-6.97,6.25,0,0,7.83,아니오
229200,3,아래,무손절,최근 10년,10,0,-6.42,-0.64,50.0,9.63,-18.28,7.92,0,0,7.8,예
229200,3,아래,무손절,최근 5년,5,0,7.75,1.55,40.0,9.63,-6.97,6.96,0,0,7.8,아니오
229200,3,위,3.0,전체,11,0,-9.83,-0.89,36.36,6.97,-6.62,3.76,2,4,5.36,예
229200,3,위,3.0,앞 절반,5,0,-12.97,-2.59,20.0,2.66,-6.62,3.33,1,3,4.2,아니오
