대상,격자 칸,진입 달력일,청산 상대 거래일,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
코스피 종합지수,15일 → 말일+1,15,1,560,0,560,0.54,0.56,55.36,44.64,19.19,-24.3,4.98,12385,0,12385,0.64,0.46,55.61,44.3,41.04,-29.25,5.08,-0.1,0.1,-0.25,0.34,0.5984,0.5554,0.9321,0.8961,,False,예
코스피 종합지수,15일 → 말일+2,15,2,560,0,560,0.61,0.48,54.82,45.0,21.23,-27.44,5.22,12385,0,12385,0.71,0.47,55.57,44.4,42.73,-32.19,5.36,-0.1,0.02,-0.75,0.6,0.6214,0.991,0.7692,0.8012,,False,예
코스피 종합지수,15일 → 말일+3,15,3,560,0,560,0.71,0.35,53.21,46.79,22.96,-26.97,5.45,12385,0,12385,0.81,0.47,54.86,45.1,43.1,-31.75,5.64,-0.09,-0.13,-1.65,1.68,0.6454,0.5395,0.4316,0.4246,,False,예
코스피 종합지수,16일 → 말일-3,16,-3,560,0,560,-0.06,0.08,50.54,49.29,14.85,-17.68,3.94,10145,0,10145,0.02,0.05,50.61,49.32,32.18,-30.6,4.66,-0.08,0.02,-0.07,-0.04,0.6394,0.9131,0.959,1.0,,True,예
코스피 종합지수,16일 → 말일-2,16,-2,560,0,560,-0.04,0.15,52.14,47.86,16.74,-20.17,4.2,10705,0,10705,0.05,0.07,51.11,48.85,34.54,-32.69,4.73,-0.08,0.08,1.04,-0.99,0.6563,0.6004,0.6573,0.6583,,True,예
코스피 종합지수,16일 → 말일-1,16,-1,560,0,560,0.12,0.14,52.32,47.5,17.57,-20.69,4.43,11265,0,11265,0.22,0.18,52.54,47.43,44.84,-32.64,4.93,-0.1,-0.04,-0.22,0.07,0.6633,0.8132,1.0,1.0,,False,예
코스피 종합지수,16일 → 말일,16,0,560,0,560,0.32,0.16,52.14,47.86,18.63,-21.47,4.56,11825,0,11825,0.41,0.3,54.08,45.88,47.18,-27.14,5.0,-0.09,-0.14,-1.94,1.98,0.6454,0.4056,0.3816,0.3656,,False,예
코스피 종합지수,16일 → 말일+1,16,1,560,0,560,0.57,0.54,56.07,43.93,20.41,-24.3,4.8,12385,0,12385,0.64,0.46,55.61,44.3,41.04,-29.25,5.08,-0.07,0.09,0.46,-0.38,0.6883,0.6194,0.8312,0.8631,,False,예
코스피 종합지수,16일 → 말일+2,16,2,560,0,560,0.63,0.48,54.64,45.36,19.69,-27.44,5.05,12385,0,12385,0.71,0.47,55.57,44.4,42.73,-32.19,5.36,-0.08,0.01,-0.92,0.96,0.6893,0.996,0.7053,0.6763,,False,예
코스피 종합지수,16일 → 말일+3,16,3,560,0,560,0.74,0.52,54.82,45.18,20.3,-26.97,5.28,12385,0,12385,0.81,0.47,54.86,45.1,43.1,-31.75,5.64,-0.07,0.05,-0.04,0.08,0.7353,0.7982,0.969,0.975,,False,예
코스피 종합지수,17일 → 말일-3,17,-3,560,0,560,-0.07,-0.02,49.82,50.18,12.65,-15.41,3.79,10145,0,10145,0.02,0.05,50.61,49.32,32.18,-30.6,4.66,-0.09,-0.07,-0.78,0.85,0.6234,0.6134,0.7113,0.6623,,False,예
코스피 종합지수,17일 → 말일-2,17,-2,560,0,560,-0.04,0.13,52.5,47.5,15.07,-17.93,4.02,10705,0,10705,0.05,0.07,51.11,48.85,34.54,-32.69,4.73,-0.09,0.05,1.39,-1.35,0.6374,0.7253,0.5375,0.5465,,True,예
코스피 종합지수,17일 → 말일-1,17,-1,560,0,560,0.11,0.12,51.07,48.75,16.68,-17.99,4.27,11265,0,11265,0.22,0.18,52.54,47.43,44.84,-32.64,4.93,-0.1,-0.06,-1.47,1.32,0.6464,0.7293,0.5654,0.5904,,False,예
코스피 종합지수,17일 → 말일,17,0,560,0,560,0.32,0.31,53.75,46.25,21.78,-19.59,4.47,11825,0,11825,0.41,0.3,54.08,45.88,47.18,-27.14,5.0,-0.1,0.0,-0.33,0.37,0.6364,0.968,0.9021,0.8751,,False,예
코스피 종합지수,17일 → 말일+1,17,1,560,0,560,0.56,0.57,55.36,44.64,21.75,-20.89,4.73,12385,0,12385,0.64,0.46,55.61,44.3,41.04,-29.25,5.08,-0.07,0.11,-0.25,0.34,0.6763,0.5335,0.9321,0.8961,,False,예
코스피 종합지수,17일 → 말일+2,17,2,560,0,560,0.63,0.36,54.29,45.54,21.77,-24.17,4.98,12385,0,12385,0.71,0.47,55.57,44.4,42.73,-32.19,5.36,-0.08,-0.11,-1.28,1.14,0.6813,0.5175,0.5774,0.6164,,False,예
코스피 종합지수,17일 → 말일+3,17,3,560,0,560,0.74,0.61,55.89,44.11,22.03,-23.68,5.21,12385,0,12385,0.81,0.47,54.86,45.1,43.1,-31.75,5.64,-0.07,0.13,1.03,-1.0,0.7283,0.5285,0.6913,0.6883,,False,예
